CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
-0.1480851106839004,0.2079996479577034,-0.7119488525000457,-0.1753236349606017,14,89.0,0.9229923560442413,Short OR Long,29,2014-01-13,2016-01-12,2016-01-13,2016-07-13,0.1814857187694053
0.8998794891360185,0.16146704195501602,5.573146558210442,-0.02740744960041355,2,122.0,1.3783611606309931,"Medium-term only (10,50)",30,2014-07-15,2016-07-13,2016-07-14,2017-01-11,0.2811841598008769
0.1741946358299702,0.1311617707886125,1.3280899974331075,-0.07176605962724762,4,69.0,1.0836026189659982,"Medium-term only (10,50)",31,2015-01-13,2017-01-11,2017-01-12,2017-07-13,1.9973194517233843
0.34544162287829927,0.13319438194747568,2.5935149653273055,-0.04653016164697948,4,109.0,1.1599317319904217,"Medium-term only (10,50)",32,2015-07-15,2017-07-13,2017-07-14,2018-01-11,1.6649982241930856
-0.18309231785796987,0.1796629986578087,-1.0190875095360774,-0.15960593344779006,5,59.0,0.9038294541239681,"Medium-term only (10,50)",33,2016-01-13,2018-01-11,2018-01-12,2018-07-13,2.4445006558248172
-0.0623903194659613,0.1557428195920202,-0.40059836870423526,-0.1232123846035641,3,92.0,0.9683024736796032,"Long-term only (50,200)",34,2016-07-14,2018-07-13,2018-07-16,2019-01-14,1.7313811287155096
0.010651806485598714,0.10774622372031642,0.09886013743969599,-0.08026523285825965,2,49.0,1.0053117956562525,"Long-term only (50,200)",35,2017-01-12,2019-01-14,2019-01-15,2019-07-16,0.7250390443210971
0.5198515759474021,0.1902178975205056,2.7329267262632935,-0.1029702416598118,2,125.0,1.232822605222423,"Long-term only (50,200)",36,2017-07-14,2019-07-16,2019-07-17,2020-01-14,0.5472469603236506
-0.5583739377025518,0.5498129653958201,-1.0155706992114464,-0.4281476165492776,3,50.0,0.6645495183185736,"Long-term only (50,200)",37,2018-01-12,2020-01-14,2020-01-15,2020-07-15,0.4861619857584606
0.4158770906742848,0.3205531344678919,1.2973733398821,-0.18655957582313787,6,106.0,1.1899063369334095,Original (>=2 signals),38,2018-07-16,2020-07-15,2020-07-16,2021-01-13,-0.1397614466299634
-0.01509858668861841,0.15387251259522716,-0.09812400170741567,-0.10262363476577264,11,76.0,0.9924219935649258,All 4 signals,39,2019-01-15,2021-01-13,2021-01-14,2021-07-15,0.7944447312152555
-0.029958746469192943,0.10536216346402161,-0.2843406540282657,-0.06745057690063201,7,46.0,0.9849067232640901,All 4 signals,40,2019-07-17,2021-07-15,2021-07-16,2022-01-12,0.7129362355267953
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,41,2020-01-15,2022-01-12,2022-01-13,2022-07-15,0.521830506485854
0.1315283028285521,0.0855770181604536,1.536958235468565,-0.04441437095190334,2,28.0,1.0637331915610004,Long AND VeryLong,42,2020-07-16,2022-07-15,2022-07-18,2023-01-13,1.0600948714856977
-0.033533205827218526,0.2119752419621722,-0.1581939735830218,-0.1639826337941196,4,99.0,0.9830904303128891,Long AND VeryLong,43,2021-01-14,2023-01-13,2023-01-17,2023-07-18,0.567001995892413
0.20073812894569887,0.14605932919847134,1.374360200387664,-0.13486577769676422,2,125.0,1.095781971445825,"Long-term only (50,200)",44,2021-07-16,2023-07-18,2023-07-19,2024-01-17,0.44580393586757366
0.3366859291571138,0.1804255411708367,1.8660657852112041,-0.09037740635740062,6,95.0,1.1561513435347095,All 4 signals,45,2022-01-13,2024-01-17,2024-01-18,2024-07-18,0.5346694255156167
0.5547218661921349,0.2703455564230773,2.051899330366736,-0.09428877245646397,2,125.0,1.246884864850053,Short OR Long,46,2022-07-18,2024-07-18,2024-07-19,2025-01-17,1.666250883280668
0.24976256562063415,0.2896475607096672,0.8622981840713225,-0.24423930011765707,2,125.0,1.1179277998245836,"Long-term only (50,200)",47,2023-01-17,2025-01-17,2025-01-21,2025-07-22,1.7627558444312472
