Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2010-07-28,17.10836425630772,17.154981527503075,17.021346614637935,17.055532455444336,12954800,17.02320671081543,16.741330718994142,16.37181463241577,16.14379238128662,16.405740871429444,16.68830143928528,1.0,1.0,0.0,0.0,1100,1.0,1,-0.003087726276900682,1.0,0,-0.003087726276900682,-0.003087726276900682,0.9310742202412413,1.2527057577533145
2010-07-29,17.117680348015046,17.189159260747605,16.98715276154949,17.089710235595703,18292600,17.06858024597168,16.807837295532227,16.447489070892335,16.158308486938477,16.410170249938965,16.690602588653565,1.0,1.0,1.0,0.0,1110,1.0,1,0.002003911648062129,1.0,0,0.002003911648062129,0.002003911648062129,0.9329400107163931,1.255216069412871
2010-07-30,17.002704100804092,17.18295633396756,16.915686435429606,17.127016067504883,16672600,17.090958023071288,16.892991065979004,16.526427364349367,16.17344741821289,16.41582860946655,16.69307511329651,1.0,1.0,1.0,0.0,1110,1.0,1,0.002182941161370744,1.0,0,0.002182941161370744,0.002182941161370744,0.9349765638668756,1.2579561322372061
2010-08-02,17.34766169319124,17.55588397569828,17.294829899220474,17.531021118164062,32091200,17.182327651977538,17.021653747558595,16.62525520324707,16.206404705047607,16.425465793609618,16.69750693321228,1.0,1.0,1.0,0.0,1110,1.0,1,0.02358875878126243,1.0,0,0.02358875878126243,0.02358875878126243,0.9570315004980648,1.2876297559979595
2010-08-03,17.487508354721594,17.568310252411965,17.422245146718673,17.52169418334961,15427400,17.264994812011718,17.119237899780273,16.717711877822875,16.238867206573488,16.435502891540526,16.701770753860472,1.0,1.0,1.0,0.0,1110,1.0,1,-0.0005320246180520183,1.0,0,-0.0005320246180520183,-0.0005320246180520183,0.9565223361795486,1.2869447052688323
2010-08-04,17.565204762829598,17.621144999775407,17.4688629801949,17.574527740478516,11974400,17.368793869018553,17.19600028991699,16.79665002822876,16.27318769454956,16.446838703155517,16.70616216659546,1.0,1.0,1.0,0.0,1110,1.0,1,0.003015322409810839,1.0,0,0.003015322409810839,0.003015322409810839,0.9594065594153154,1.290825258478817
2010-08-05,17.53102235676944,17.534129621417605,17.341447204019165,17.518590927124023,15099800,17.454570007324218,17.261575126647948,16.85802879333496,16.31156669616699,16.45669059753418,16.710607719421386,1.0,1.0,1.0,0.0,1110,1.0,1,-0.0031828345080167075,1.0,0,-0.0031828345080167075,-0.0031828345080167075,0.9563529271107908,1.286716775302311
2010-08-06,17.43467975198522,17.64911775414587,17.294830324260328,17.636686325073242,18090600,17.55650405883789,17.32373104095459,16.925623226165772,16.355635890960695,16.467569370269775,16.71673638343811,1.0,1.0,1.0,0.0,1110,1.0,1,0.006741147072871767,1.0,0,0.006741147072871767,0.006741147072871767,0.962799842846016,1.2953907223257553
2010-08-09,17.518588992885306,17.838691750516947,17.515481728580216,17.748565673828125,18731000,17.600012969970702,17.391170310974122,16.998034381866454,16.394854831695557,16.479135513305664,16.72342444419861,1.0,1.0,1.0,0.0,1110,1.0,1,0.006343558347229328,1.0,0,0.006343558347229328,0.006343558347229328,0.968907419825813,1.3036081089552882
2010-08-10,17.602493757379403,17.838686077343247,17.565200669947277,17.708158493041992,15376000,17.63730583190918,17.451150321960448,17.06422996520996,16.432217712402345,16.489958610534668,16.729789113998415,1.0,1.0,1.0,0.0,1110,1.0,1,-0.002276644858447141,1.0,0,-0.002276644858447141,-0.002276644858447141,0.9667015617301552,1.300640256256605
