Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2024-06-26,20,200,0.0011307820389777849,0.0015259937984277716,1,1,4.052355234837081,0.0015259937984277716
2024-06-27,20,200,0.0011593677948673626,-0.013028563251092917,1,1,3.9995588683441086,-0.013028563251092917
2024-06-28,20,200,0.0010711328457676667,0.021881602232866948,1,1,4.08707562460815,0.021881602232866948
2024-07-01,20,200,0.001471784911659349,0.005583175339759272,1,1,4.109894484447193,0.005583175339759272
2024-07-02,20,200,0.001553835979431924,0.003244279374086112,1,1,4.123228130352755,0.003244279374086112
2024-07-03,20,200,0.0016354714666291293,0.01473615868520306,1,1,4.183988674376927,0.01473615868520306
2024-07-05,20,200,0.0017557561385206934,-0.0028231570689513097,1,1,4.172176617174448,-0.0028231570689513097
2024-07-08,20,200,0.001644462080081708,-0.014370266400385745,1,1,4.112221327716191,-0.014370266400385745
2024-07-09,20,200,0.0015171730582775808,0.014601539509341066,1,1,4.172266089903994,0.014601539509341066
2024-07-10,20,200,0.0016867238016862822,-0.024771996852403944,1,1,4.0689107274575,-0.024771996852403944
2024-07-11,20,200,0.001384870448987401,-0.002529251104269492,1,1,4.058619430506904,-0.002529251104269492
2024-07-12,20,200,0.0012895197859860061,0.0009039857702868304,1,1,4.062288364719092,0.0009039857702868304
2024-07-15,20,200,0.0011871742435182091,-0.00978055011345702,1,1,4.022556949792643,-0.00978055011345702
2024-07-16,20,200,0.0010835358008119906,-0.013347641005306388,1,1,3.968865303703411,-0.013347641005306388
2024-07-17,20,200,0.0008973109823599796,-0.007102294964937306,1,1,3.940677251640404,-0.007102294964937306
2024-07-18,20,200,0.0007298160173920435,-0.007402852409663874,1,1,3.91150499955239,-0.007402852409663874
2024-07-19,20,200,0.0006546745685291213,0.013337662496281988,1,1,3.9636753330889394,0.013337662496281988
2024-07-22,20,200,0.0007628881448093176,0.004312033431148166,1,1,3.9807668336354363,0.004312033431148166
2024-07-23,20,200,0.0007332985236450622,-0.03585475982907782,1,1,3.838037394879879,-0.03585475982907782
2024-07-24,20,200,0.0003682931011305656,-0.024481235518524214,1,1,3.7440774974869213,-0.024481235518524214
2024-07-25,20,200,6.98754188568734e-05,0.016419692715282652,1,1,3.805554099497861,0.016419692715282652
2024-07-26,20,200,0.00015955246404107063,0.0034331272726479956,1,1,3.8186190510643843,0.0034331272726479956
2024-07-29,20,200,0.00014971255556850578,-0.0089282350262051,1,1,3.784525522700937,-0.0089282350262051
2024-07-30,20,200,7.908278273631561e-05,-0.010805875787081698,1,1,3.7436304099895903,-0.010805875787081698
2024-07-31,20,200,-0.00015569410560862737,-0.0029641151238916086,1,1,3.7325338584730794,-0.0029641151238916086
2024-08-01,20,200,-0.00028752963682624627,-0.02066599843685124,1,1,3.6553973195883804,-0.02066599843685124
2024-08-02,20,200,-0.0005709301289841392,-0.032656844688138786,1,1,3.5360235770491437,-0.032656844688138786
2024-08-05,50,200,-0.0009589725782956958,0.011286869464045335,1,1,3.575934213585084,0.011286869464045335
2024-08-06,50,200,-0.0008739990130711325,-0.0029528403510109547,1,1,3.5653750507466495,-0.0029528403510109547
2024-08-07,50,200,-0.0008766733278662365,0.010691821463729712,1,1,3.6034954042404688,0.010691821463729712
2024-08-08,50,200,-0.0008439563841072449,0.008269502289518504,1,1,3.633294517736105,0.008269502289518504
2024-08-09,50,200,-0.0006926605180825945,0.001945589024074712,1,1,3.640363415671043,0.001945589024074712
2024-08-12,50,200,-0.0006836106159379298,0.017698866659905166,1,1,3.704793722358602,0.017698866659905166
2024-08-13,50,200,-0.0005474579594793849,0.006883795330226761,1,1,3.730296764084027,0.006883795330226761
2024-08-14,50,200,-0.00043808526018176627,0.011823774983608093,1,1,3.774402953644638,0.011823774983608093
2024-08-15,50,200,-0.0002595458894452596,-0.006080293826605021,1,1,3.751453474666473,-0.006080293826605021
2024-08-16,50,200,-0.0002793242487062406,0.007312279441317626,1,1,3.778885150784336,0.007312279441317626
